Record_ID,Device_ID,Location,Timestamp_UTC,Soil_Moisture_Percent,Soil_pH_Level,Soil_Temperature_DS18B20_C,Air_Temperature_DHT22_C,Air_Humidity_DHT22_Percent,Sunlight_LDR_ADC_12bit,Air_Quality_MQ135_ppm,Soil_Nitrogen_mg_per_kg,Data_Quality_Flag
88,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 15:00,56.72,6.63,26.45,29.98,60.95,2970,215.57,69.04,Valid
89,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 16:00,54.69,6.67,25.29,28.01,61.85,2369,207.56,70.48,Valid
90,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 17:00,53.7,6.62,24.47,26.53,67.28,1648,204.72,65.5,Valid
91,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 18:00,53.5,6.59,23.55,24.86,69.46,845,196.89,68.16,Valid
92,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 19:00,54.86,6.63,22.35,23.78,72.5,150,197.31,68.5,Valid
93,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 20:00,53.9,6.67,21.88,20.26,74.89,9,194.81,66.67,Valid
94,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 21:00,53.48,6.6,22.04,19.19,75.89,17,190.39,64.68,Valid
95,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 22:00,53.17,6.67,21.57,20.3,76.09,22,192.89,66.28,Valid
96,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 23:00,54.56,6.64,21.61,19.51,75.29,24,201.05,66.68,Valid
97,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 00:00,53.11,6.68,22,20.26,75.2,13,198.87,66.83,Valid
98,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 01:00,52.44,6.62,22.26,20.01,76.1,22,191.22,66.39,Valid
99,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 02:00,51.63,6.7,22.4,20.48,75.46,0,196.2,67.48,Valid
100,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 03:00,53.27,6.59,21.85,20.47,76.8,24,191.08,68.66,Valid
101,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 04:00,55.14,6.67,22.15,19.63,76.08,17,200.86,67.23,Valid
102,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 05:00,54.41,6.66,22.15,23.64,73.8,150,197.1,69.67,Valid
103,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 06:00,55.81,6.69,23.18,25.04,70.96,845,201.97,69.34,Valid
104,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 07:00,53.26,6.67,24.44,27.06,66.71,1648,206.85,67.42,Valid
105,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 08:00,55.48,6.68,25.89,27.82,65.26,2369,212.46,67.28,Valid
106,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 09:00,55.95,6.62,26.45,30.53,58.66,2970,213.58,65.92,Valid
107,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 10:00,54.88,6.65,27.19,30.86,58.79,3423,215.76,68.43,Valid
108,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 11:00,54.42,6.63,27.73,31.96,58.94,3704,221.89,68.81,Valid
109,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 12:00,55.18,6.63,28.45,32.54,57.17,3800,218.93,67.81,Valid
110,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 13:00,55.58,6.65,27.84,30.82,57.9,3704,220.43,66.21,Valid
111,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 14:00,54.31,6.7,27.34,31.68,57.85,3423,216.09,69.12,Valid
112,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 15:00,56.05,6.63,26.74,30.02,59.46,2970,214.18,66.08,Valid
113,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 16:00,54.91,6.64,26.07,28.65,63.55,2369,207.49,70.77,Valid
114,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 17:00,54.34,6.73,24.45,27.35,68.68,1648,208.92,64.56,Valid
115,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 18:00,54.64,6.61,23.56,24.84,70.92,845,200.41,67.12,Valid
116,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 19:00,55.6,6.69,22.26,23.08,75.72,150,196.61,67.21,Valid
117,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 20:00,54.38,6.67,22.03,19.53,74.37,9,191.24,68.6,Valid
118,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 21:00,51.77,6.62,21.44,19.71,74.07,24,197.04,69.28,Valid
119,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 22:00,54.09,6.63,22.45,20.53,75.1,8,193.68,69.45,Valid
120,ESP32-FARM-01,Ideal_Growth_Field,05-01-2026 23:00,53.73,6.67,21.82,19.98,74.59,14,196.95,68.87,Valid
121,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 00:00,53.08,6.65,22.07,20.01,76.39,14,195.05,66,Valid
122,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 01:00,52.18,6.61,22,20.1,72.97,12,200.14,67.2,Valid
123,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 02:00,52.08,6.59,22.55,20.12,75.4,21,195.09,68.09,Valid
124,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 03:00,53.46,6.63,21.98,20.33,76.42,0,191.65,67.15,Valid
125,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 04:00,54.38,6.68,21.88,20.24,74.34,21,194.4,70.08,Valid
126,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 05:00,54.62,6.71,21.48,23.18,74.63,150,197.6,66.88,Valid
127,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 06:00,53.5,6.67,23.09,25.38,71.19,845,198.02,66.88,Valid
128,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 07:00,54.03,6.67,24.94,27.31,68.07,1648,211.83,67.62,Valid
129,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 08:00,53.55,6.67,25.92,28.37,64.6,2369,213.19,65.98,Valid
130,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 09:00,54.8,6.67,26.71,29.34,60.1,2970,211.45,70.27,Valid
131,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 10:00,54.48,6.66,27.28,31.83,59.37,3423,217.86,68.27,Valid
132,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 11:00,54.1,6.61,27.66,31.52,57.46,3704,214.96,69.16,Valid
133,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 12:00,55.36,6.63,28.02,31.41,56.55,3800,222.18,67.4,Valid
134,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 13:00,54.54,6.64,27.5,31.63,56.72,3704,219.52,70.44,Valid
135,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 14:00,55.48,6.68,27.13,30.44,58.07,3423,216.26,66.77,Valid
136,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 15:00,54.35,6.65,26.18,30.37,60.92,2970,211.67,71.82,Valid
137,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 16:00,54.97,6.61,25.77,28.21,63.49,2369,208.9,68.33,Valid
138,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 17:00,54.51,6.65,24.61,27.13,67.9,1648,204.59,65.95,Valid
139,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 18:00,54.32,6.68,23.16,24.54,71.62,845,199.23,67.07,Valid
140,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 19:00,53.92,6.65,21.74,23.8,73.58,150,200.62,68.14,Valid
141,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 20:00,54.66,6.65,22.55,19.47,76.51,5,199.21,66.1,Valid
142,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 21:00,54.86,6.6,22.09,20.53,74,23,196.78,70.5,Valid
143,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 22:00,54.48,6.57,21.94,19.58,74.66,9,191.96,67.44,Valid
144,ESP32-FARM-01,Ideal_Growth_Field,06-01-2026 23:00,53.49,6.66,21.86,20.35,75.84,10,200.12,67.1,Valid
145,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 00:00,53.29,6.67,22.73,20.45,75.85,16,191.78,67.59,Valid
146,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 01:00,51.51,6.66,22.32,20.02,76.17,0,195.8,67.44,Valid
147,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 02:00,54.11,6.67,22.28,19.94,73.22,9,186.25,67.58,Valid
148,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 03:00,52.83,6.64,22.46,20.2,74.07,15,199.5,69.06,Valid
149,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 04:00,52.46,6.68,22.33,20.22,74.58,3,192.18,67.28,Valid
150,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 05:00,53.84,6.75,22.26,23.6,76.34,150,195.3,68.44,Valid
151,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 06:00,52.56,6.65,22.99,24.78,70.51,845,191.23,68.41,Valid
152,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 07:00,54.6,6.64,24.65,26.61,66.05,1648,205.37,70.14,Valid
153,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 08:00,55.02,6.59,25.37,29,65.87,2369,204.79,68.1,Valid
154,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 09:00,56.54,6.65,26.89,29.87,61.3,2970,212.69,68.95,Valid
155,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 10:00,56.15,6.7,27.46,31.49,59.87,3423,220.75,68.8,Valid
156,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 11:00,55.73,6.7,27.37,31.23,57.82,3704,217.3,66.68,Valid
157,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 12:00,54.7,6.67,27.99,31.8,56.05,3800,219.02,69.58,Valid
158,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 13:00,54.13,6.64,28.05,31.9,57.49,3704,225.53,67.6,Valid
159,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 14:00,55.01,6.65,27.3,31.85,59.52,3423,214.99,67.4,Valid
160,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 15:00,55.45,6.69,27.33,30.29,61.28,2970,213.09,68.43,Valid
161,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 16:00,55.83,6.69,25.73,28.4,62.33,2369,207.61,65.43,Valid
162,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 17:00,55.33,6.7,24.19,27.33,66.86,1648,205.57,68.71,Valid
163,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 18:00,55.28,6.69,23.36,25.15,69.55,845,203.46,68.1,Valid
164,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 19:00,54.65,6.61,22.16,23.29,74.57,150,190.94,68.48,Valid
165,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 20:00,54.49,6.65,22.17,20.12,74.38,0,193.65,67.44,Valid
166,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 21:00,54.59,6.61,22.25,19.85,75.37,1,194.92,68.97,Valid
167,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 22:00,53.57,6.67,21.75,20.45,75.61,8,193.91,68.89,Valid
168,ESP32-FARM-01,Ideal_Growth_Field,07-01-2026 23:00,52.64,6.62,22.63,19.38,76.48,23,193.47,66.44,Valid
169,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 00:00,52.52,6.65,21.75,20.18,74.44,2,195.03,64.29,Valid
170,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 01:00,53.29,6.68,21.95,20.35,74.56,24,187.93,68.79,Valid
171,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 02:00,52.3,6.67,22.17,20.27,74.12,2,191.95,65.09,Valid
172,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 03:00,54.42,6.67,21.97,19.7,74.59,5,194.82,68.72,Valid
173,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 04:00,54.29,6.69,21.72,20.09,75.21,18,195.21,69.22,Valid
174,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 05:00,51.81,6.65,22.46,23.48,72.23,150,192.48,65.13,Valid
175,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 06:00,53.97,6.58,23.4,24.67,69.26,845,195.33,66.59,Valid
176,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 07:00,55.31,6.66,24.81,27.45,66.76,1648,204.95,68.71,Valid
177,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 08:00,53.91,6.63,25.28,28.98,64.81,2369,215.16,68.79,Valid
178,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 09:00,55.03,6.67,26.9,29.63,61.04,2970,215.23,68.53,Valid
179,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 10:00,55.25,6.67,27.47,30.66,59.77,3423,220.19,69.67,Valid
180,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 11:00,54.2,6.71,27.21,30.8,59.76,3704,220.79,69.62,Valid
181,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 12:00,54.67,6.63,28.47,32.55,56.47,3800,219.1,66.66,Valid
182,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 13:00,54.23,6.61,27.78,31.55,56.14,3704,221.64,68.29,Valid
183,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 14:00,55.32,6.71,27.26,30.67,61.59,3423,215.99,64.23,Valid
184,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 15:00,53.73,6.7,26.94,30.6,64.35,2970,215.05,68.76,Valid
185,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 16:00,54.48,6.66,25.51,28.3,61.9,2369,205.84,65.79,Valid
186,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 17:00,54.23,6.65,24.72,26.81,67.78,1648,206.65,67.53,Valid
187,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 18:00,54.47,6.66,23.35,24.23,71.09,845,201.21,68.09,Valid
188,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 19:00,53.94,6.6,22.32,23.87,73.29,150,199.11,68.43,Valid
189,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 20:00,54.42,6.62,21.86,20.28,74.25,24,198.5,67.95,Valid
190,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 21:00,55.39,6.63,21.82,20.58,74.03,9,193.93,69.11,Valid
191,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 22:00,54.25,6.64,22.4,18.98,73.66,1,197.92,69.3,Valid
192,ESP32-FARM-01,Ideal_Growth_Field,08-01-2026 23:00,52.32,6.65,21.95,20.19,75.03,21,194.07,68.48,Valid
193,ESP32-FARM-01,Ideal_Growth_Field,09-01-2026 00:00,53.08,6.64,22.55,20.11,73.86,3,197.95,69.3,Valid
194,ESP32-FARM-01,Ideal_Growth_Field,09-01-2026 01:00,52.06,6.61,22.36,19.63,74.84,19,191.62,68.89,Valid
