Record_ID,Soil_pH_Level,Soil_Nitrogen_mg_per_kg
189,6.62,67.95
190,6.63,69.11
191,6.64,69.3
192,6.65,68.48
193,6.64,69.3
194,6.61,68.89
195,6.67,63.21
196,6.65,69.48
197,6.7,65.93
198,6.65,68.01
199,6.62,67.36
200,6.67,70.05
201,6.67,68.07
202,6.7,69.29
203,6.68,68.95
204,6.57,69.78
205,6.63,65.95
206,6.57,67.36
207,6.62,66.98
208,6.68,65.69
209,6.75,65.71
210,6.62,68.62
211,6.69,67.8
212,6.61,66.94
213,6.61,69.45
214,6.67,66.13
215,6.63,70.56
216,6.65,65.4
217,6.68,68.34
218,6.62,66.61
219,6.67,68.63
220,6.66,66.36
221,6.63,68.28
222,6.66,66.87
223,6.62,68.9
224,6.64,69.56
225,6.56,67.44
226,6.61,69.39
227,6.63,67.59
228,6.67,67.19
229,6.67,67.56
230,6.68,69.56
231,6.6,66.2
232,6.6,68.74
233,6.63,70.84
234,6.67,66.94
235,6.59,67.82
236,6.62,65.99
237,6.65,69.11
238,6.59,68.9
239,6.64,65.63
240,6.72,69.12
241,6.7,68.05
242,6.64,69.13
243,6.67,69.97
244,6.68,70.4
245,6.7,67.96
246,6.62,68.74
247,6.62,68.21
248,6.68,66.1
249,6.63,67.24
250,6.68,67.94
251,6.63,68.36
252,6.66,66.85
253,6.63,67.5
254,6.64,66.92
255,6.73,66.71
256,6.66,69.88
257,6.68,69.34
258,6.69,69.44
259,6.6,67.05
260,6.66,67.51
261,6.65,66.77
262,6.64,69.2
263,6.69,67.46
264,6.66,67.75
265,6.72,69.31
266,6.61,69.02
267,6.63,68.15
268,6.64,68.77
269,6.69,67.53
270,6.67,67.67
271,6.62,66.44
272,6.61,67.35
273,6.69,68.9
274,6.66,72.15
275,6.6,69.7
276,6.6,69.88
277,6.62,68.69
278,6.7,66.8
279,6.66,68.42
280,6.7,64.26
281,6.63,68.12
282,6.6,67.88
283,6.64,67.02
284,6.6,70.27
285,6.69,67.56
286,6.7,65.5
287,6.69,64.14
288,6.6,68.29
289,6.61,65.61
290,6.63,71.41
291,6.71,68.95
292,6.68,65.37
293,6.7,67.03
294,6.61,68.19
295,6.59,66.22
296,6.58,67.85
297,6.67,68.7
298,6.67,65.63
299,6.61,73.04
300,6.74,68.72
301,6.64,66.23
302,6.67,67.2
303,6.52,67.14
304,6.63,67.88
305,6.69,69.27
306,6.65,66.56
307,6.68,67.87
308,6.64,67.06
309,6.69,70.18
310,6.69,70.63
311,6.65,68.96
312,6.64,69.74
313,6.74,69.1
314,6.69,67.86
315,6.67,68.81
316,6.62,68.26
317,6.7,68.7
318,6.63,71.19
319,6.66,67.38
320,6.62,68.59
321,6.67,66.88
322,6.62,69.34
323,6.63,67.21
324,6.61,68.17
325,6.66,67.95
326,6.66,66.63
327,6.73,66.5
328,6.64,68.04
329,6.67,66.38
330,6.67,68.51
331,6.68,65.72
332,6.61,68.97
333,6.6,66.17
334,6.71,66.89
335,6.69,70.84
336,6.63,67.44
337,6.67,68.02
338,6.73,67.93
339,6.56,69.6
340,6.62,66.35
341,6.65,69.06
342,6.63,70.57
343,6.69,70.33
344,6.67,68.11
345,6.65,67.93
346,6.64,68.16
347,6.69,67.61
348,6.67,69.09
349,6.71,69.25
350,6.65,68.3
351,6.6,65.75
352,6.73,67.85
353,6.67,69.39
354,6.63,66.46
355,6.67,67.12
356,6.66,67.32
357,6.67,67.83
358,6.66,65.43
359,6.64,68.52
360,6.64,69.84
361,6.64,67.1
362,6.63,68.89
363,6.66,66.73
364,6.69,66.75
365,6.64,68
366,6.69,66.63
367,6.66,66.77
368,6.66,70.65
369,6.61,68.92
370,6.67,70.15
371,6.68,65.52
372,6.67,67.4
373,6.59,66.41
374,6.73,69.31
375,6.71,68.78
376,6.66,67.85
377,6.64,66.66
378,6.68,67.16
379,6.59,67.14
380,6.67,65.73
381,6.66,67.08
382,6.65,69.34
383,6.66,65.9
384,6.59,70.75
385,6.73,66.82
386,6.68,66.89
387,6.6,66.89
388,6.66,67.54
389,6.63,65
390,6.71,69.57
391,6.62,69.2
392,6.66,68.97
393,6.6,68.69
394,6.66,67.01
395,6.62,69.05
396,6.64,67.62
397,6.69,67.86
398,6.67,68.86
399,6.62,69.44
400,6.69,71.8
401,6.76,69.9
402,6.62,65.5
403,6.68,67.42
404,6.63,70.86
405,6.61,65.59
406,6.59,67.09
407,6.68,68.14
408,6.68,66.35
409,6.62,67.71
410,6.65,66.35
411,6.67,69.13
412,6.67,68.79
413,6.65,69.66
414,6.66,70.78
415,6.66,67.02
416,6.56,68.59
417,6.67,67.54
418,6.69,69.55
419,6.71,68.02
420,6.62,70.82
421,6.71,67.47
422,6.6,69.23
423,6.64,66.55
424,6.75,68.29
425,6.65,67.04
426,6.66,68.16
427,6.69,68.3
428,6.64,70.34
429,6.69,67.94
430,6.63,65.41
431,6.76,67.79
432,6.66,67.95
433,6.59,65.87
434,6.63,66.51
435,6.64,67.58
436,6.64,67.07
437,6.72,69.09
438,6.63,66.78
439,6.64,69.84
440,6.62,68.05
441,6.6,66.76
442,6.66,66.05
443,6.67,66.96
444,6.59,69.27
445,6.66,67.74
446,6.64,66.05
447,6.62,67.13
448,6.71,68.84
449,6.67,67.11
450,6.56,68.79
451,6.67,69.27
452,6.69,72.08
453,6.67,67.78
454,6.62,67.66
455,6.63,65.09
456,6.67,68.9
457,6.61,69.44
458,6.62,69.24
459,6.62,68.92
460,6.7,68.8
461,6.67,66.4
462,6.61,69.89
463,6.67,66.64
464,6.6,69.35
465,6.63,69.14
466,6.65,68.91
467,6.68,68.78
468,6.6,68.38
469,6.6,66.41
470,6.66,68.06
471,6.63,68.85
472,6.65,68.64
473,6.58,65.8
474,6.73,66.7
475,6.66,68.84
476,6.61,68.55
477,6.64,68.45
478,6.65,69.17
479,6.63,65.04
480,6.7,65.82
481,6.61,70.08
482,6.61,67.09
483,6.64,66.47
484,6.67,68.73
485,6.64,65.24
486,6.71,70.45
487,6.67,68.16
488,6.63,66.77
489,6.66,71.01
490,6.63,66.99
491,6.65,68.81
492,6.73,66.63
493,6.71,67.21
494,6.57,68.11
495,6.65,65.64
496,6.66,71.08
497,6.66,68.24
498,6.73,68.77
499,6.69,68.85
500,6.6,68.82
501,6.61,66.86
502,6.68,68.16
503,6.61,69.87
504,6.64,68.75
505,6.67,65.67
506,6.66,67.31
507,6.71,68.55
508,6.62,68.69
509,6.68,66.65
510,6.61,65.72
511,6.64,70.81
512,6.63,66.39
513,6.62,69.73
514,6.61,68.39
515,6.67,67.48
516,6.62,67.93
517,6.68,68.22
518,6.65,66.37
519,6.72,70.31
520,6.71,67.28
521,6.74,70.15
522,6.68,69.72
523,6.65,68.5
524,6.62,70.16
525,6.66,66.62
526,6.64,69.88
527,6.66,69.19
528,6.59,67.18
529,6.63,71.08
530,6.7,67.52
531,6.65,69.67
532,6.65,66.6
533,6.61,66.09
534,6.65,65.55
535,6.71,66.87
536,6.69,69.55
537,6.63,69.31
538,6.65,69.26
539,6.67,68.32
540,6.66,66.78
541,6.7,68.09
542,6.61,70.75
543,6.64,64.81
544,6.62,67.8
545,6.71,68.23
546,6.69,67.11
547,6.69,68.69
548,6.73,67.62
549,6.63,68.86
550,6.65,68.66
551,6.64,65.7
552,6.75,67.03
553,6.68,69.39
554,6.64,69.27
555,6.65,69.26
556,6.67,68.2
557,6.73,70.25
558,6.7,67.11
559,6.66,70.07
560,6.61,67.75
561,6.62,69.05
562,6.64,69.32
563,6.56,65.98
564,6.66,69.47
565,6.63,65.35
566,6.7,69.73
567,6.56,68.51
568,6.62,68.3
569,6.72,68.37
570,6.66,68.24
571,6.64,67.24
572,6.64,66.27
573,6.65,70.28
574,6.62,68.19
575,6.68,65.62
576,6.69,67.78
577,6.58,67.2
578,6.68,69.08
579,6.63,68.05
580,6.67,68.7
581,6.67,67.72
582,6.69,68.58
583,6.62,69.14
584,6.65,68.58
585,6.67,69.69
586,6.7,67.08
587,6.71,67.37
588,6.72,69.46
589,6.61,69.37
590,6.64,67.11
591,6.64,68.11
592,6.67,66.24
593,6.64,67.25
594,6.62,69.69
595,6.69,64.64
596,6.7,69.46
597,6.65,70.22
598,6.58,66.5
599,6.73,67.49
600,6.69,65.86
601,6.72,67.08
602,6.63,69.78
603,6.71,71.25
604,6.65,67.55
605,6.64,68.44
606,6.69,69.99
607,6.62,65.96
608,6.64,67.49
609,6.63,68.16
610,6.62,66.32
611,6.66,67.46
612,6.73,65.81
613,6.74,67.28
614,6.63,66.12
615,6.63,69.5
616,6.67,68.03
617,6.63,66.97
618,6.69,68.94
619,6.66,69.59
620,6.7,69.88
621,6.61,64.43
622,6.63,69.5
623,6.68,67.78
624,6.63,65.77
625,6.65,68.07
626,6.54,69.49
627,6.68,64.5
628,6.57,67.34
629,6.74,68.11
630,6.66,66.55
631,6.68,67.75
632,6.64,71.55
633,6.58,68.7
634,6.72,70.22
635,6.64,66.09
636,6.64,68.97
637,6.64,67.86
638,6.68,69.19
639,6.64,68.43
640,6.6,69.17
641,6.66,68.82
642,6.65,65.74
643,6.73,69.98
644,6.73,67.52
645,6.67,64.06
646,6.69,67.8
647,6.67,69.02
648,6.59,69.23
649,6.62,69.35
650,6.58,68.92
651,6.63,70.08
652,6.72,68.12
653,6.58,68.97
654,6.55,67.36
655,6.58,66.18
656,6.61,69.32
657,6.66,65.88
658,6.62,66.9
659,6.68,67.25
660,6.66,67.35
661,6.72,71.5
662,6.57,66.58
663,6.62,67.18
664,6.64,66.31
665,6.69,67.77
666,6.68,68.4
667,6.67,67.77
668,6.66,66.5
669,6.68,68.93
670,6.64,69.08
671,6.62,66.85
672,6.67,66.8
673,6.61,68.44
674,6.65,67.48
675,6.65,67.59
676,6.71,68.59
677,6.63,67.12
678,6.68,67.55
679,6.7,65.93
680,6.66,70.56
681,6.61,67.69
682,6.7,66.37
683,6.63,70.48
684,6.64,71.81
685,6.67,65.81
686,6.7,67.81
687,6.67,66.52
688,6.66,67.18
689,6.61,67.83
690,6.63,67.29
691,6.64,68.52
692,6.63,66.85
693,6.63,67.3
694,6.61,65.89
695,6.64,68.78
696,6.67,70.31
697,6.58,66.14
698,6.68,68.82
699,6.69,65.5
700,6.7,67.62
701,6.63,69.6
702,6.67,69.55
703,6.52,68.91
704,6.71,68.88
705,6.7,66.25
706,6.68,67.47
707,6.72,67.9
708,6.69,68.3
709,6.66,67.47
710,6.67,67.44
711,6.59,64.25
712,6.69,67.36
713,6.71,67.76
714,6.68,66.04
715,6.61,67.26
716,6.66,68.91
717,6.67,68.42
718,6.65,72.9
719,6.72,69.03
720,6.63,67.77
721,6.62,68.46
722,6.61,69.8
723,6.67,65.73
724,6.68,69.05
725,6.67,68.42
726,6.68,63.93
727,6.64,69.9
728,6.63,68.94
729,6.68,67.26
730,6.66,68.65
731,6.72,67.11
732,6.65,67.58
733,6.6,68.26
734,6.68,65.04
735,6.67,68.84
736,6.66,69.87
737,6.64,66.81
738,6.71,68.48
739,6.68,65.62
740,6.64,70.29
741,6.67,69.61
742,6.69,67.68
743,6.68,70.52
744,6.6,69.31
745,6.62,67.83
746,6.64,65.89
747,6.65,66.86
748,6.73,69.43
749,6.66,69.75
750,6.61,69.03
751,6.68,70.07
752,6.67,68.51
753,6.6,70.3
754,6.66,68.86
755,6.68,67.1
756,6.65,67.69
757,6.65,66.63
758,6.65,66.56
759,6.65,68.84
760,6.64,69.77
761,6.67,64.47
762,6.61,65.2
763,6.67,67.38
764,6.6,66.18
765,6.58,67.86
766,6.68,66.26
767,6.66,67.56
768,6.65,70.13
769,6.7,67.19
770,6.59,68.32
771,6.62,67.05
772,6.63,70
773,6.63,65.69
774,6.63,69.41
775,6.61,67.97
776,6.63,67.78
777,6.69,67
778,6.63,68.58
779,6.64,71.86
780,6.6,65.73
781,6.57,66.45
782,6.69,67.26
783,6.68,65.57
784,6.65,68.76
785,6.64,68.21
786,6.65,69.72
787,6.6,66.93
788,6.6,69.22
789,6.61,67.33
790,6.65,67.49
791,6.68,68.79
792,6.6,68.45
793,6.61,68.13
794,6.62,68.92
795,6.69,69.29
796,6.68,70.79
797,6.69,68.37
798,6.57,68.21
799,6.64,68.26
800,6.65,70.18
801,6.58,67.49
802,6.7,72.32
803,6.72,67.44
804,6.65,67.69
805,6.71,69.91
806,6.7,67.19
807,6.66,68.26
808,6.65,69.71
809,6.66,68.42
810,6.64,66.73
811,6.67,65.38
812,6.65,69.24
813,6.68,66.93
814,6.71,66.9
815,6.63,69.78
816,6.64,68.73
817,6.63,67.21
818,6.66,69.09
819,6.62,69.19
820,6.64,68.25
821,6.61,68.89
822,6.64,67.99
823,6.69,70.08
824,6.66,69.05
825,6.63,67.68
826,6.62,69.26
827,6.68,68.51
828,6.61,69.2
829,6.73,67.93
830,6.64,68.89
831,6.59,68.74
832,6.66,68.02
833,6.66,65.5
834,6.65,64.83
835,6.59,69.32
836,6.61,68.56
837,6.69,67.36
838,6.68,68.35
839,6.67,66.92
840,6.6,70.22
841,6.66,71.37
842,6.62,68.61
843,6.7,67.16
844,6.64,70.33
845,6.64,66.88
846,6.57,70.45
847,6.68,70.55
848,6.64,67.01
849,6.67,67.6
850,6.63,69.26
851,6.66,68.25
852,6.63,70.15
853,6.64,67.48
854,6.64,65.5
855,6.67,70.76
856,6.6,67.05
857,6.65,67.99
858,6.69,71.12
859,6.69,68.02
860,6.72,70.71
861,6.66,69.39
862,6.68,65.81
863,6.56,66.26
864,6.67,69.37
865,6.64,68.86
866,6.67,68.16
867,6.58,68.18
868,6.58,65.14
869,6.66,66.49
870,6.69,66.74
871,6.61,68.14
872,6.58,68.08
873,6.64,66.21
874,6.62,70
875,6.64,66.66
876,6.64,68.15
877,6.56,65.38
878,6.62,70.01
879,6.7,69.13
880,6.62,66
881,6.65,67.94
882,6.67,68.01
883,6.67,64.21
884,6.63,68.18
885,6.65,69.8
886,6.65,67.98
887,6.63,65.89
888,6.66,68.2
889,6.66,67.2
890,6.63,67.92
891,6.67,66.16
892,6.56,64.24
893,6.71,67.18
894,6.69,68.09
895,6.58,69.99
896,6.67,71.16
897,6.63,69.03
898,6.68,67.92
899,6.69,71.22
900,6.66,68.06
901,6.59,66.65
902,6.71,66.51
903,6.65,71.58
904,6.63,66.5
905,6.62,67.86
906,6.72,67.09
907,6.74,66.02
908,6.59,68.89
909,6.66,67.12
910,6.7,68.35
911,6.66,64.98
912,6.7,68.95
913,6.66,69.08
914,6.66,68.83
915,6.67,67.73
916,6.68,68.78
917,6.7,68.96
918,6.61,67.24
919,6.63,70.44
920,6.7,68.55
921,6.59,69.3
922,6.63,66.76
923,6.63,69.52
924,6.59,67.47
925,6.65,66.77
926,6.72,66.25
927,6.66,66.64
928,6.67,67.87
929,6.67,67.9
930,6.68,68.87
931,6.64,64.91
932,6.59,68.99
933,6.65,69.43
934,6.62,71.03
935,6.63,68.43
936,6.61,67.68
937,6.66,68.06
938,6.68,67.44
939,6.61,68.65
940,6.58,68.24
941,6.58,67.98
942,6.59,67.04
943,6.61,67
944,6.65,68.34
945,6.63,66.19
946,6.69,66.56
947,6.63,70.51
948,6.64,67.95
949,6.65,66.27
950,6.67,67.07
951,6.63,65.17
952,6.66,68.72
953,6.59,64.44
954,6.63,69.66
955,6.64,66.26
956,6.7,68.82
957,6.7,68.43
958,6.63,68.32
959,6.61,68.33
960,6.57,67.93
961,6.67,63.54
962,6.6,69.34
963,6.66,69.09
964,6.69,69.02
965,6.63,65.25
966,6.63,68.28
967,6.66,64.76
968,6.61,67.64
969,6.66,67.5
970,6.64,69.4
971,6.57,69.36
972,6.68,69.52
973,6.71,68.29
974,6.68,64.92
975,6.66,67.47
976,6.65,67.6
977,6.69,67.6
978,6.7,69.03
979,6.67,68.25
980,6.65,64.14
981,6.62,67.74
982,6.61,69.07
983,6.59,67.06
984,6.65,68.12
985,6.56,66.24
986,6.68,68.21
987,6.55,68.01
988,6.64,68.88
989,6.63,66.18
990,6.68,66.36
991,6.64,70.74
992,6.63,69.6
993,6.63,68.51
994,6.66,68.63
995,6.64,64.58
996,6.64,67.42
997,6.66,67
998,6.63,69.2
999,6.71,67.65
1000,6.64,67.36
1001,6.62,67.37
1002,6.63,70.33
1003,6.66,67.6
1004,6.6,67.79
1005,6.66,66.28
1006,6.64,68.75
1007,6.66,69.37
1008,6.63,67.68
1009,6.69,67.84
1010,6.61,69.26
1011,6.67,70.33
1012,6.64,67.38
1013,6.65,68.32
1014,6.65,68.86
1015,6.68,67.51
1016,6.68,70.57
1017,6.62,67.04
1018,6.66,67.5
1019,6.61,69.22
1020,6.64,67.71
1021,6.69,67.01
1022,6.7,70.16
1023,6.67,65.71
1024,6.68,69.27
1025,6.61,67.09
1026,6.71,68.54
1027,6.63,67.58
1028,6.68,68.49
1029,6.64,68.68
1030,6.66,67.51
1031,6.73,66.37
1032,6.63,68.01
1033,6.6,66.84
1034,6.61,68.54
1035,6.64,66.53
1036,6.61,66.7
1037,6.63,67.09
1038,6.6,67.7
1039,6.63,68.74
1040,6.62,68.87
1041,6.66,66.63
1042,6.64,67.96
1043,6.66,69.34
1044,6.6,67.16
1045,6.63,69.09
1046,6.64,65.54
1047,6.64,67.32
1048,6.63,67.37
1049,6.68,68.18
1050,6.65,66.86
1051,6.6,68.9
1052,6.67,68.85
1053,6.62,68.47
1054,6.59,67.98
1055,6.65,70.77
1056,6.71,69.09
1057,6.69,71.09
1058,6.64,68.33
1059,6.69,67.37
1060,6.66,65.73
1061,6.72,68.41
1062,6.65,67.47
1063,6.61,68.12
1064,6.64,66.78
1065,6.75,69.22
1066,6.68,68.1
1067,6.72,68.9
1068,6.58,68.6
1069,6.63,66.94
1070,6.75,68.47
1071,6.66,69.14
1072,6.65,67.3
1073,6.64,68.76
1074,6.73,67.38
1075,6.6,66.38
1076,6.64,68.21
1077,6.68,68.56
1078,6.65,66.83
1079,6.72,68.02
1080,6.58,66.77
1081,6.66,69.2
1082,6.7,68.01
1083,6.7,69.57
1084,6.64,68.36
1085,6.55,66.52
1086,6.65,67.02
1087,6.6,69.79
1088,6.66,67.07
1089,6.62,65.81
1090,6.64,71.28
1091,6.63,67.34
1092,6.67,66.91
1093,6.64,70.01
1094,6.62,67.71
1095,6.58,70.51
1096,6.65,68.33
1097,6.61,68.1
1098,6.68,70.33
1099,6.71,68.56
1100,6.63,67.99
1101,6.7,65.12
1102,6.68,66.82
1103,6.63,68.21
1104,6.7,70.14
1105,6.67,68.36
1106,6.59,67.29
1107,6.73,65.35
1108,6.65,67.25
1109,6.62,66.94
1110,6.64,69.39
1111,6.62,68.69
1112,6.65,70.34
1113,6.67,67.68
1114,6.64,69.66
1115,6.67,68.06
1116,6.7,65.23
1117,6.65,64.76
1118,6.64,66.18
1119,6.65,69.24
1120,6.65,65.71
1121,6.6,68.87
1122,6.58,68.47
1123,6.64,67.32
1124,6.67,66.53
1125,6.7,69.09
1126,6.69,67.93
1127,6.66,66.32
1128,6.59,67.04
1129,6.58,68.53
1130,6.61,65.68
1131,6.67,69.31
1132,6.65,70.56
1133,6.69,65.61
1134,6.6,70.17
1135,6.65,66.74
1136,6.64,68.09
1137,6.65,68.01
1138,6.69,69.17
1139,6.63,68.32
1140,6.73,68.08
1141,6.6,67.64
1142,6.61,72.04
1143,6.69,66
1144,6.64,65.51
1145,6.66,68.33
1146,6.73,69.88
1147,6.67,70.75
1148,6.64,68.57
1149,6.72,69.14
1150,6.71,69.49
1151,6.74,66.69
1152,6.64,68.39
1153,6.63,68.66
1154,6.66,66.79
1155,6.64,68.54
1156,6.66,66.94
1157,6.6,68.78
1158,6.63,67.7
1159,6.59,68.29
1160,6.62,68.35
1161,6.72,67.94
1162,6.64,68.29
1163,6.59,70.15
1164,6.61,68.05
1165,6.64,68.51
1166,6.67,66.22
1167,6.68,66.27
1168,6.65,69.05
1169,6.6,69.01
1170,6.63,68.6
1171,6.62,68.6
1172,6.65,70.95
1173,6.72,66.67
1174,6.66,66.1
1175,6.63,67.66
1176,6.68,63.54
1177,6.69,70.73
1178,6.62,70.74
1179,6.61,70.89
1180,6.66,65.48
1181,6.7,68.28
1182,6.64,67.48
1183,6.63,67.43
1184,6.66,70.03
1185,6.66,67.98
1186,6.69,67.27
1187,6.63,68.12
1188,6.72,69.77
1189,6.64,68.64
1190,6.69,69.67
1191,6.68,66.07
1192,6.59,67.29
1193,6.61,67.59
1194,6.63,66.14
1195,6.61,68.89
1196,6.6,70
1197,6.69,68.14
1198,6.66,67.64
1199,6.73,67.25
1200,6.67,69.55
1201,6.62,68.47
1202,6.62,67.96
1203,6.66,66.11
1204,6.68,68.68
1205,6.67,68.23
1206,6.61,66.67
1207,6.62,67.79
1208,6.59,70.44
1209,6.7,66.54
1210,6.64,66.55
1211,6.69,66.18
1212,6.59,68.01
1213,6.67,68.41
1214,6.65,65.34
1215,6.62,69.26
1216,6.61,68.03
1217,6.65,68.24
1218,6.67,70.31
1219,6.6,66.57
1220,6.61,66.4
1221,6.69,66.23
1222,6.69,70.16
1223,6.64,68.05
1224,6.7,67.74
1225,6.65,68.42
1226,6.63,66.84
1227,6.56,66.07
1228,6.66,68.06
1229,6.65,67.85
1230,6.66,68.89
1231,6.6,67.47
1232,6.61,66.71
1233,6.73,66.75
1234,6.64,69.31
1235,6.61,67.27
1236,6.65,67.82
1237,6.64,65.6
1238,6.61,66.8
1239,6.67,69.86
1240,6.67,66.52
1241,6.62,67.76
1242,6.65,69.33
1243,6.62,69.22
1244,6.62,68.47
1245,6.63,64.96
1246,6.67,67.58
1247,6.63,66.75
1248,6.64,69.62
1249,6.61,68.47
1250,6.72,68.91
1251,6.68,68.53
1252,6.77,68.72
1253,6.73,68.85
1254,6.66,68.18
1255,6.65,66.97
1256,6.65,65.96
1257,6.63,67.97
1258,6.64,69.27
1259,6.68,65.52
1260,6.66,67.56
1261,6.63,68.39
1262,6.64,68.39
1263,6.68,67.95
1264,6.6,66.87
1265,6.62,67.69
1266,6.66,68.37
1267,6.62,67.6
1268,6.67,68.86
1269,6.65,69.37
1270,6.64,66.47
1271,6.66,66.97
1272,6.64,68.84
1273,6.68,68.89
1274,6.59,68.17
1275,6.64,69.08
1276,6.66,68.41
1277,6.66,69.33
1278,6.63,68.38
1279,6.64,69.16
1280,6.63,67.69
1281,6.59,67.52
1282,6.68,65.21
1283,6.65,66.05
1284,6.66,68.39
1285,6.69,69.8
1286,6.61,68.43
1287,6.69,67.99
1288,6.67,69.74
1289,6.69,68.92
1290,6.73,70.31
1291,6.59,66.86
1292,6.69,66.57
1293,6.61,69.15
1294,6.62,66.81
1295,6.62,67.96
1296,6.63,67.48
1297,6.68,69.85
1298,6.64,64.76
1299,6.61,68.74
1300,6.7,70.1
1301,6.66,65.01
1302,6.7,70.83
1303,6.66,70.13
1304,6.7,70.47
1305,6.66,70
1306,6.64,66.25
1307,6.68,68.27
1308,6.64,67.55
1309,6.65,69.75
1310,6.65,68.1
1311,6.63,68.56
1312,6.62,67.97
1313,6.68,68.33
1314,6.63,69.27
1315,6.65,69.92
1316,6.64,68.25
1317,6.64,67.15
1318,6.59,69.69
1319,6.67,68.61
1320,6.62,70.33
1321,6.65,68.37
1322,6.64,68.08
1323,6.6,68.72
1324,6.63,66.44
1325,6.68,69.41
1326,6.68,67.99
1327,6.73,68.86
1328,6.67,65.82
1329,6.65,68.51
1330,6.61,71.09
1331,6.69,69.49
1332,6.67,68.04
1333,6.59,64.55
1334,6.64,70.05
1335,6.64,65.69
1336,6.65,68.83
1337,6.64,67.3
1338,6.6,66.05
1339,6.63,65.89
1340,6.64,69.81
1341,6.73,65.83
1342,6.73,68.08
1343,6.71,67.97
1344,6.64,67.85
1345,6.58,68.75
1346,6.67,67.31
1347,6.63,66.94
1348,6.65,66.42
1349,6.63,67.97
1350,6.7,68.94
1351,6.62,67.94
1352,6.68,67.78
1353,6.63,69.59
1354,6.67,69.2
1355,6.69,68.12
1356,6.71,68.02
1357,6.63,68.17
1358,6.6,68.16
1359,6.63,71.26
